trade_date,trade_time,open,high,low,close,volume,rsi_h4,rsi_d1,signal,forward_1,forward_3,forward_6
1971-01-25,00:00:00,0.5385,0.5385,0.5385,0.5385,1,82.75862068965398,82.75862068965398,OVERBOUGHT_ALIGN,0.0557103064066791,0.0371402042711194,0.0185701021355597
1971-01-26,00:00:00,0.5388,0.5388,0.5388,0.5388,1,87.09677419354665,87.09677419354665,OVERBOUGHT_ALIGN,-0.03711952487007758,-0.01855976243503879,-0.03711952487007758
1971-05-05,00:00:00,0.5465,0.5465,0.5465,0.5465,1,83.59374999999939,83.59374999999939,OVERBOUGHT_ALIGN,-0.1280878316559989,1.0978956999085097,0.9332113449222311
1971-05-06,00:00:00,0.5458,0.5458,0.5458,0.5458,1,80.45112781954865,80.45112781954865,OVERBOUGHT_ALIGN,0.38475632099672075,0.4030780505679903,1.0443385855624843
1971-05-07,00:00:00,0.5479,0.5479,0.5479,0.5479,1,88.88888888888872,88.88888888888872,OVERBOUGHT_ALIGN,0.8395692644643068,0.25552108048913247,0.6205511954736189
1971-05-10,00:00:00,0.5525,0.5525,0.5525,0.5525,1,91.25683060109269,91.25683060109269,OVERBOUGHT_ALIGN,-0.8144796380090404,-0.1628959276018121,-0.14479638009050189
1971-05-20,00:00:00,0.5577,0.5577,0.5577,0.5577,1,81.84818481848194,81.84818481848194,OVERBOUGHT_ALIGN,0.16137708445400967,-0.8606777837547116,-1.129639591178048
1971-05-21,00:00:00,0.5586,0.5586,0.5586,0.5586,1,82.31511254019304,82.31511254019304,OVERBOUGHT_ALIGN,-0.23272466881488862,-1.2889366272824891,-1.9334049409237437
1971-06-21,00:00:00,0.558,0.558,0.558,0.558,1,97.22222222222156,97.22222222222156,OVERBOUGHT_ALIGN,0.05376344086020912,0.2150537634408564,0.14336917562722434
1971-06-22,00:00:00,0.5583,0.5583,0.5583,0.5583,1,96.24999999999913,96.24999999999913,OVERBOUGHT_ALIGN,0.2686727565824728,0.05373455131649059,0.16120365394949165
1971-06-23,00:00:00,0.5598,0.5598,0.5598,0.5598,1,95.08196721311356,95.08196721311356,OVERBOUGHT_ALIGN,-0.10718113612003108,-0.2858163629867694,-0.10718113612003108
1971-06-24,00:00:00,0.5592,0.5592,0.5592,0.5592,1,86.1538461538461,86.1538461538461,OVERBOUGHT_ALIGN,-0.10729613733906382,-0.07153075822604917,-0.08941344778255648
1971-07-16,00:00:00,0.5628,0.5628,0.5628,0.5628,1,80.88235294117672,80.88235294117672,OVERBOUGHT_ALIGN,0.07107320540157551,0.14214641080313128,0.28429282160626257
1971-07-19,00:00:00,0.5632,0.5632,0.5632,0.5632,1,86.76470588235281,86.76470588235281,OVERBOUGHT_ALIGN,-0.07102272727273916,0.21306818181817808,0.3373579545454568
1971-07-20,00:00:00,0.5628,0.5628,0.5628,0.5628,1,80.30303030302959,80.30303030302959,OVERBOUGHT_ALIGN,0.14214641080313128,0.3198294243070405,0.3198294243070405
